Model,Accuracy,Precision,Recall,F1-Score,AUC
XGBoost,0.7225792155993795,0.802823879118157,0.6548797736916548,0.7213443133763632,0.8016812751339657
LightGBM,0.7179998522786025,0.8529613313754283,0.5868525628073011,0.6953156172691725,0.7976774706398473
CatBoost,0.7098382450697983,0.8441315478534857,0.5774230484272918,0.685757709074911,0.7847854399451848
Random Forest,0.6954723391683285,0.8013329681365836,0.5911631979524483,0.6803875968992248,0.7552469192247171
Logistic Reg,0.6950291749759953,0.8005656418210018,0.5910284906041624,0.6800216986980782,0.7283186713950036
